in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,in_8,rot_0,rot_1,rot_2,out_0,out_1,out_2,out_3,out_4,out_5,out_6,out_7,out_8
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0,1,0.00249999994,0,0,1,0,0,0,1,-0.00249999994,0,0.00249999994,1
1,0,0,0,1,0,0,0,1,0,0.00249999994,0,1,0,0.00249999994,0,1,0,-0.00249999994,0,1
1,0,0,0,1,0,0,0,1,0,0,0.00249999994,1,-0.00249999994,0,0.00249999994,1,0,0,0,1
1,0,0,0,1,0,0,0,1,0.00249999994,-0.00499999989,0.00124999997,1,-0.00124999997,-0.00499999989,0.00124999997,1,-0.00249999994,0.00499999989,0.00249999994,1
1,0,0,0,1,0,0,0,1,0.0500000007,0.0500000007,0.0500000007,1,-0.0500000007,0.0500000007,0.0500000007,1,-0.0500000007,-0.0500000007,0.0500000007,1
1,0,0,0,1,0,0,0,1,0.5,-0.25,0.100000001,1,-0.100000001,-0.25,0.100000001,1,-0.5,0.25,0.5,1
1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,-1,0,1,1
1,0,0,0,1,0,0,0,1,-1.5,2,-0.5,1,0.5,2,-0.5,1,1.5,-2,-1.5,1
0.707099974,-0.707099974,0,0.707099974,0.707099974,0,0,0,1,0,0,0,0.707099974,-0.707099974,0,0.707099974,0.707099974,0,0,0,1
0.707099974,-0.707099974,0,0.707099974,0.707099974,0,0,0,1,0.00249999994,0,0,0.707099974,-0.707099974,0.0017677499,0.707099974,0.707099974,-0.0017677499,0,0.00249999994,1
0.707099974,-0.707099974,0,0.707099974,0.707099974,0,0,0,1,0,0.00249999994,0,0.707099974,-0.707099974,0.0017677499,0.707099974,0.707099974,0.0017677499,-0.00249999994,0,1
0.707099974,-0.707099974,0,0.707099974,0.707099974,0,0,0,1,0,0,0.00249999994,0.70533222,-0.708867729,0,0.708867729,0.70533222,0,0,0,1
0.707099974,-0.707099974,0,0.707099974,0.707099974,0,0,0,1,0.00249999994,-0.00499999989,0.00124999997,0.706216097,-0.707983851,-0.0017677499,0.707983851,0.706216097,-0.00530324969,0.00499999989,0.00249999994,1
0.707099974,-0.707099974,0,0.707099974,0.707099974,0,0,0,1,0.0500000007,0.0500000007,0.0500000007,0.671745002,-0.742454946,0.0707099959,0.742454946,0.671745002,0,-0.0500000007,0.0500000007,1
0.707099974,-0.707099974,0,0.707099974,0.707099974,0,0,0,1,0.5,-0.25,0.100000001,0.636389971,-0.777809978,0.176774994,0.777809978,0.636389971,-0.530324996,0.25,0.5,1
0.707099974,-0.707099974,0,0.707099974,0.707099974,0,0,0,1,1,0,0,0.707099974,-0.707099974,0.707099974,0.707099974,0.707099974,-0.707099974,0,1,1
0.707099974,-0.707099974,0,0.707099974,0.707099974,0,0,0,1,-1.5,2,-0.5,1.06064999,-0.353549987,0.353549957,0.353549987,1.06064999,2.47484994,-2,-1.5,1
0.865999997,0,0.5,0,1,0,-0.5,0,0.865999997,0,0,0,0.865999997,0,0.5,0,1,0,-0.5,0,0.865999997
0.865999997,0,0.5,0,1,0,-0.5,0,0.865999997,0.00249999994,0,0,0.865999997,0.00124999997,0.5,0,1,-0.00249999994,-0.5,0.00216499995,0.865999997
0.865999997,0,0.5,0,1,0,-0.5,0,0.865999997,0,0.00249999994,0,0.864749968,0,0.50216502,0,1,0,-0.50216502,0,0.864749968
0.865999997,0,0.5,0,1,0,-0.5,0,0.865999997,0,0,0.00249999994,0.865999997,-0.00216499995,0.5,0.00249999994,1,0,-0.5,0.00124999997,0.865999997
0.865999997,0,0.5,0,1,0,-0.5,0,0.865999997,0.00249999994,-0.00499999989,0.00124999997,0.868499994,0.000167499995,0.495669991,0.00124999997,1,-0.00249999994,-0.495669991,0.00278999982,0.868499994
0.865999997,0,0.5,0,1,0,-0.5,0,0.865999997,0.0500000007,0.0500000007,0.0500000007,0.841000021,-0.0182999987,0.543299973,0.0500000007,1,-0.0500000007,-0.543299973,0.0683000013,0.841000021
0.865999997,0,0.5,0,1,0,-0.5,0,0.865999997,0.5,-0.25,0.100000001,0.990999997,0.163399994,0.283500016,0.100000001,1,-0.5,-0.283500016,0.48300001,0.990999997
