#output
#pwm
state,armed,disarm_disable,pwm_min,pwm_max,actuator,pwm
0,0,0,1000,2000,0,1000
0,0,0,1000,2000,980151802,1000
0,0,0,1000,2000,1036831949,1000
0,0,0,1000,2000,1048576000,1000
0,0,0,1000,2000,1051372202,1000
0,0,0,1000,2000,1056964608,1000
0,0,0,1000,2000,1059760811,1000
0,0,0,1000,2000,1061158912,1000
0,0,0,1000,2000,1063675494,1000
0,0,0,1000,2000,1065336439,1000
0,0,0,1000,2000,1065353216,1000
0,0,0,1000,2000,1069547520,1000
0,0,0,1000,2000,3196059648,1000
0,0,0,1100,1900,0,1100
0,0,0,1100,1900,980151802,1100
0,0,0,1100,1900,1036831949,1100
0,0,0,1100,1900,1048576000,1100
0,0,0,1100,1900,1051372202,1100
0,0,0,1100,1900,1056964608,1100
0,0,0,1100,1900,1059760811,1100
0,0,0,1100,1900,1061158912,1100
0,0,0,1100,1900,1063675494,1100
0,0,0,1100,1900,1065336439,1100
0,0,0,1100,1900,1065353216,1100
0,0,0,1100,1900,1069547520,1100
0,0,0,1100,1900,3196059648,1100
0,0,0,1,2,0,1
0,0,0,1,2,980151802,1
0,0,0,1,2,1036831949,1
0,0,0,1,2,1048576000,1
0,0,0,1,2,1051372202,1
0,0,0,1,2,1056964608,1
0,0,0,1,2,1059760811,1
0,0,0,1,2,1061158912,1
0,0,0,1,2,1063675494,1
0,0,0,1,2,1065336439,1
0,0,0,1,2,1065353216,1
0,0,0,1,2,1069547520,1
0,0,0,1,2,3196059648,1
0,0,1,1000,2000,0,0
0,0,1,1000,2000,980151802,0
0,0,1,1000,2000,1036831949,0
0,0,1,1000,2000,1048576000,0
0,0,1,1000,2000,1051372202,0
0,0,1,1000,2000,1056964608,0
0,0,1,1000,2000,1059760811,0
0,0,1,1000,2000,1061158912,0
0,0,1,1000,2000,1063675494,0
0,0,1,1000,2000,1065336439,0
0,0,1,1000,2000,1065353216,0
0,0,1,1000,2000,1069547520,0
0,0,1,1000,2000,3196059648,0
0,0,1,1100,1900,0,0
0,0,1,1100,1900,980151802,0
0,0,1,1100,1900,1036831949,0
0,0,1,1100,1900,1048576000,0
0,0,1,1100,1900,1051372202,0
0,0,1,1100,1900,1056964608,0
0,0,1,1100,1900,1059760811,0
0,0,1,1100,1900,1061158912,0
0,0,1,1100,1900,1063675494,0
0,0,1,1100,1900,1065336439,0
0,0,1,1100,1900,1065353216,0
0,0,1,1100,1900,1069547520,0
0,0,1,1100,1900,3196059648,0
0,0,1,1,2,0,0
0,0,1,1,2,980151802,0
0,0,1,1,2,1036831949,0
0,0,1,1,2,1048576000,0
