#vec
op,n,vals
in_a,2,3196477440 1079867392
in_b,2,3228270592 3154116608
in_s,2,1068408832
neg,2,1048993792 3227351040
add,2,3229371392 1079834624
sub,2,1079686144 1079900160
mul,2,3199685240 1083642363
div,2,3192192602 1075992097
add_assign,2,3229371392 1079834624
sub_assign,2,1079686144 1079900160
mul_assign,2,3199685240 1083642363
div_assign,2,3192192602 1075992097
dot,2,1064324832
in_a,3,3235713536 3223091200 1085529600
in_b,3,1088901120 1090294272 3236339200
in_s,3,3208630272
neg,3,1088229888 1075607552 3233013248
add,3,1050927104 1085167104 3217752064
sub,3,3244437760 3240453888 1095581184
mul,3,1084597261 1072331091 3230057670
div,3,1091798583 1079039029 3236957870
add_assign,3,1050927104 1085167104 3217752064
sub_assign,3,3244437760 3240453888 1095581184
mul_assign,3,1084597261 1072331091 3230057670
div_assign,3,1091798583 1079039029 3236957870
dot,3,3269164092
in_a,4,1063641088 1059287040 1077809152 1066405888
in_b,4,1081729024 1084565504 1050812416 1082218496
in_s,4,1090351616
neg,4,3211124736 3206770688 3225292800 3213889536
add,4,1083812864 1085904384 1079137280 1084578816
sub,4,3225446400 3230710272 1076481024 3225069568
mul,4,1088656574 1084345976 1102850675 1091477495
div,4,1038627118 1034229182 1052768882 1041335231
add_assign,4,1083812864 1085904384 1079137280 1084578816
sub_assign,4,3225446400 3230710272 1076481024 3225069568
mul_assign,4,1088656574 1084345976 1102850675 1091477495
div_assign,4,1038627118 1034229182 1052768882 1041335231
dot,4,1095017904
in_a,5,3227211776 3234608128 1082749952 3234086912 3236020224
in_b,5,1070647296 1085352448 3235688448 1070632960 1077063680
in_s,5,3235849216
neg,5,1079728128 1087124480 3230233600 1086603264 1088536576
add,5,3219515392 3210235904 3223746560 3230669824 3230164992
sub,5,3231833600 3242110720 1093865984 3237504000 3239939072
mul,5,1103048832 1110572547 3253706433 1110118233 1111803391
div,5,1056679133 1063929367 3206394300 1063331398 1065451311
add_assign,5,3219515392 3210235904 3223746560 3230669824 3230164992
sub_assign,5,3231833600 3242110720 1093865984 3237504000 3239939072
mul_assign,5,1103048832 1110572547 3253706433 1110118233 1111803391
div_assign,5,1056679133 1063929367 3206394300 1063331398 1065451311
dot,5,3267917561
in_a,9,3233530880 1081708544 1086309376 1084026880 3200647168 3224135680 1085464064 3227336704 3232773120
in_b,9,3214026752 1074169856 1066549248 1085471232 3219656704 3237551616 3232705024 1084963840 1081356288
in_s,9,1088065024
neg,9,1086047232 3229192192 3233793024 3231510528 1053163520 1076652032 3232947712 1079853056 1085289472
add,9,3235925504 1086327808 1088705536 1093137664 3222063104 3240601856 1038942208 1072852992 3218632704
sub,9,3231136256 1072041984 1083913216 3207614464 1068929024 1084418560 1093731328 3238850048 3239388672
mul,9,3256896783 1104482062 1109636935 1107688301 3223914964 3247648818 1108915267 3250381626 3256249861
div,9,3210473361 1058154756 1063296770 1060623211 3177704564 3200905700 1062306630 3204551708 3209585772
add_assign,9,3235925504 1086327808 1088705536 1093137664 3222063104 3240601856 1038942208 1072852992 3218632704
sub_assign,9,3231136256 1072041984 1083913216 3207614464 1068929024 1084418560 1093731328 3238850048 3239388672
mul_assign,9,3256896783 1104482062 1109636935 1107688301 3223914964 3247648818 1108915267 3250381626 3256249861
div_assign,9,3210473361 1058154756 1063296770 1060623211 3177704564 3200905700 1062306630 3204551708 3209585772
dot,9,1061015648
#mat4
op,vals
in_a,1084199424 3234505216 1063370752 3220420608
in_b,3237047296 3236599296 3235295744 3193733120
outer,3256253380 3255974132 3255161600 3213455681 1111431166 1111076559 1110044753 1068402825 3235177725 3234782662 3233633144 3192025568 1097193226 1096766718 1095525702 1053944828
sym_in,0 1065353216 1073741824 1077936128 1082130432 1084227584 1086324736 1088421888 1090519040 1091567616 1092616192 1093664768 1094713344 1095761920 1096810496 1097859072
sym_out,0 1065353216 1084227584 1089470464 1082130432 1084227584 1086324736 1092616192 1084227584 1091567616 1092616192 1093664768 1089470464 1092616192 1096810496 1097859072
in_p,1060765696 3231044096 1065605120 3236599296 1083167232 1082916352 3230403072 1081846784 3233143808 3236215296 3209584640 1080069120 3227901952 3234124288 3222518784 1080936448
in_q,3180855296 1082599424 3229889024 3237193216 3230706176 1076761600 3222138880 3189719040 1058340864 1090181632 1080536064 3223492608 1085341696 3233761792 3230980608 1083625472
add,1059520512 3203047424 3225843712 3245284864 3168272384 1088620544 3235054080 1081194496 3231923200 1060175872 1077154816 1064816640 1073233920 3242331648 3235821568 1090968064
sub,1062010880 3238952192 1084565504 1049690112 1091583488 1070845952 3221890048 1082314752 3234364416 3245328896 3230507520 1086427648 3239180288 3190882304 1075181568 3212795904
